symbol,timestamp,outcome,entry_price,detail
AST,2026-04-01T02:05:27+00:00,HIT,0.007209667004644871,49.55
AST,2026-04-01T02:30:08+00:00,HIT,0.007209667004644871,24.866666666666667
AST,2026-04-01T02:41:43+00:00,HIT,0.007209667004644871,13.283333333333333
AST,2026-04-01T03:39:16+00:00,MISS,0.007306658662855625,0.07488402535732426
AST,2026-04-01T03:50:21+00:00,MISS,0.007306658662855625,0.07488402535732426
ABT,2026-04-01T03:57:39+00:00,HIT,0.3101317584514618,7.35
ABT,2026-04-01T04:02:39+00:00,HIT,0.31349730491638184,42.35
AST,2026-04-01T04:15:30+00:00,MISS,0.007308897562325001,0.04422856701609061
AST,2026-04-01T05:07:03+00:00,HIT,0.007122645620256662,12.95
AST,2026-04-01T05:50:01+00:00,MISS,0.007311682216823101,0.0061267181081713475
AST,2026-04-01T06:09:56+00:00,MISS,0.007312130182981491,0.0
ABT,2026-04-01T06:36:42+00:00,HIT,0.3051312565803528,13.3
AST,2026-04-01T06:38:29+00:00,HIT,0.007120476104319096,16.516666666666666
AST,2026-04-01T07:00:08+00:00,HIT,0.007215645629912615,149.86666666666667
AST,2026-04-01T07:10:41+00:00,HIT,0.0072155725210905075,139.31666666666666
HONEY,2026-04-01T08:18:50+00:00,NO_DATA,,
AST,2026-04-01T08:24:08+00:00,HIT,0.0072156949900090694,65.86666666666666
AST,2026-04-01T09:28:00+00:00,MISS,0.007308763451874256,0.0033130620657579107
AST,2026-04-01T10:38:42+00:00,HIT,0.007212223019450903,321.3
AST,2026-04-01T11:04:30+00:00,HIT,0.0072131045162677765,295.5
HONEY,2026-04-01T11:05:31+00:00,NO_DATA,,
AST,2026-04-01T11:26:53+00:00,HIT,0.0072131045162677765,273.1166666666667
AST,2026-04-01T12:29:23+00:00,HIT,0.0072131045162677765,210.61666666666667
AST,2026-04-01T15:26:12+00:00,HIT,0.00721294479444623,33.8
HONEY,2026-04-01T15:34:02+00:00,NO_DATA,,
AST,2026-04-01T17:21:24+00:00,MISS,0.007309005595743656,0.0
AST,2026-04-01T17:29:15+00:00,MISS,0.007309005595743656,0.0
AST,2026-04-01T17:32:15+00:00,MISS,0.007309005595743656,0.0
AST,2026-04-01T17:34:35+00:00,MISS,0.007309005595743656,0.0
AST,2026-04-01T19:42:56+00:00,HIT,0.007107150740921497,1347.0666666666666
AST,2026-04-01T19:48:00+00:00,HIT,0.007106962613761425,1342.0
AST,2026-04-01T19:49:30+00:00,HIT,0.007106962613761425,1340.5
AST,2026-04-01T20:02:48+00:00,HIT,0.007107618264853954,1327.2
AST,2026-04-01T20:05:57+00:00,HIT,0.007107618264853954,1324.05
AST,2026-04-01T20:17:05+00:00,HIT,0.007107618264853954,1312.9166666666667
AST,2026-04-01T20:49:26+00:00,HIT,0.007107616402208805,1280.5666666666666
AST,2026-04-01T21:18:03+00:00,HIT,0.007105408702045679,1251.95
AST,2026-04-01T21:22:49+00:00,HIT,0.007105408702045679,1247.1833333333334
AST,2026-04-01T22:48:24+00:00,HIT,0.007113461382687092,1161.6
AST,2026-04-01T22:54:33+00:00,HIT,0.007113461382687092,1155.45
AST,2026-04-01T23:08:49+00:00,HIT,0.007113530766218901,1141.1833333333334
AST,2026-04-01T23:16:39+00:00,HIT,0.007113530766218901,1133.35
AST,2026-04-02T00:38:05+00:00,HIT,0.0071137333288788795,1051.9166666666667
AST,2026-04-02T01:02:28+00:00,HIT,0.007106582168489695,1027.5333333333333
AST,2026-04-02T01:09:06+00:00,NO_DATA,,
AST,2026-04-02T01:20:32+00:00,NO_DATA,,
AST,2026-04-02T01:25:05+00:00,NO_DATA,,
AST,2026-04-02T01:59:39+00:00,NO_DATA,,
HONEY,2026-04-02T02:20:55+00:00,NO_DATA,,
AST,2026-04-02T02:20:55+00:00,NO_DATA,,
HONEY,2026-04-02T02:33:00+00:00,NO_DATA,,
HONEY,2026-04-02T03:42:52+00:00,NO_DATA,,
HONEY,2026-04-02T04:53:15+00:00,NO_DATA,,
AST,2026-04-02T05:11:03+00:00,NO_DATA,,
HONEY,2026-04-02T05:48:05+00:00,NO_DATA,,
AST,2026-04-02T06:13:11+00:00,NO_DATA,,
AST,2026-04-02T07:40:52+00:00,NO_DATA,,
AST,2026-04-02T11:03:24+00:00,NO_DATA,,
AST,2026-04-02T13:09:07+00:00,NO_DATA,,
